Title,Energy,Fat,Protein,Salt,Saturates,Sugars,Similarity (%)
Carl Reiner Cookies,470.098661,28.10937299,11.85036489,0.809879169,15.90247874,23.60366914,63
Almond Bark Cookies,564.1984498,51.29335652,10.9754613,0.021379692,7.061211988,6.829195367,63
Cardamom Ginger Crunch,471.9269721,25.86195266,3.120378458,0.992080137,15.95170678,38.32223443,63
Caramel Nut Acorn Cookies,577.0284589,49.82972818,7.276915619,0.122073512,8.292836661,16.18127,63
Cinnamon Sugar Cookies,485.9869717,28.30934707,4.247841236,0.261134677,17.43963036,25.96879261,63
Sand Art Cookies,343.7921488,7.861148577,6.240505431,0.510754596,4.362461844,37.54773905,62
Caramel Coloring,174.7428609,0.0,0.055181956,0.036751555,0.0,44.61461147,62
Cinnamon Crunch Cookies,344.5621346,12.09121954,5.240782543,0.182612722,2.264050472,23.93326388,62
Beach Cookies,215.4380846,9.410452244,5.190079808,0.034862267,1.887840041,21.75448382,62
Cave Cookie Bars,604.8336545,49.91748483,6.285612973,0.016693773,39.17108054,11.74810535,62
Caramel Crackles,296.7831137,19.16503825,2.792653701,0.104652503,14.27867545,15.04599502,62
Cream Crowdie,316.394167,4.488437178,5.104139048,0.012336132,1.965075858,49.65385182,62
Cream Crowdie,174.7829028,5.65446904,6.711326605,0.483005712,3.054479522,13.64265717,62
Date Bar Cookies,301.8248513,9.755710367,4.584168182,0.470931846,5.508893067,28.97783669,62
Twix Bar Cookies,612.6905225,56.95959701,0.885638402,0.968290075,35.44004972,26.4424495,62
Cardamom Glazed Carrots,22.67258096,0.924140414,0.463034113,2.330024669,0.266930069,1.109079202,62
Mom's Caramel,540.4978453,51.52547885,0.917169042,0.076118584,32.04836743,22.15446446,62
Chocolate Cookies,376.9377905,19.67095258,2.813097267,1.167422661,12.20549462,49.55840001,61
Crisp Almond Cookies,498.6216216,30.38918919,7.568108108,0.010202703,14.32086486,19.70486486,61
Cardamom Spice Blend,290.9090909,6.954545455,10.36363636,1.772727273,1.395454545,2.909090909,61
Oven Caramel Corn,431.9402909,28.21303665,0.474428506,1.469727305,17.45068174,48.23685945,61
Cardamom Infused Oil,495.2380952,37.66666667,7.333333333,0.0,2.921428571,0.0,61
Aldo's Lemon Cookies,380.111904,24.12255522,1.792565061,0.238817755,14.96875054,41.55815573,61
Vegan Almond Cookies,464.5022178,30.45835387,6.772732873,13.20809204,3.639496057,19.32386644,61
Chocolate Cookies,501.5494212,32.68797863,5.131077471,0.015627783,20.1517008,17.61549421,61
Oven Caramel Corn,435.9757984,28.86056842,0.988851907,1.43513134,17.13855929,47.2153277,61
Cinnamon-Raisins Cookies,396.0344969,11.51873075,3.338866398,0.672182677,1.538064146,55.43194655,60
Butter cookies,483.5896269,25.70241128,2.706323931,0.018186988,15.88817561,10.76041856,60
Butter Cookies,480.0721526,31.98161828,3.656588215,4.881463666,19.7551967,21.70932829,60
Cheese Cookies,541.0952544,53.97198323,11.51399096,0.782563221,32.68919738,0.281773588,60
Butter Cookies,410.0012324,5.754868129,0.854695588,0.006316244,3.546093172,83.23299236,60
Butter Cookies,409.5113614,9.389704404,1.394530465,3.513975468,5.785843555,70.84657149,60
EVOO & Ice Cream,229.7924298,13.93406593,3.384615385,0.194139194,7.020757021,20.52747253,60
Cheese Cookies,655.5901511,70.8323653,4.398954738,2.864088908,44.09290012,0.141362951,60
Cheese Cookies,406.5464284,31.25418437,8.806695094,19.48671217,15.07127085,0.60538233,60
Boiled Cookies,465.7851552,42.93751984,9.907245457,0.781888384,16.25415488,8.251552662,60
Caramel Corn I,588.0954268,49.68376001,3.531742887,0.631885551,13.35404613,33.40691131,60
Cheese Cookies,493.2854466,36.70986883,9.526858214,1.263663335,21.98969394,0.644909432,60
Oreo Ice Cream Pie,301.184967,14.15137253,3.596968036,0.109414215,8.142758046,38.46963475,59
Cocoa Puff Cookies,398.4698985,22.22508223,12.95581296,0.064886315,5.764621765,37.37094237,59
Cookie & Cinnamon Snack Mix,478.9266776,27.67599195,5.161821174,0.49021759,6.933945877,21.88197111,59
Cherry Almond Cookies,364.7541985,19.92814583,7.703222695,0.446758891,10.8174123,14.16503578,59
Ezee Anzac Cookies,546.3886544,35.91051085,7.356589763,0.266662096,30.73922528,18.40860113,59
Adam Recipe,169.2321844,0.074184895,0.108186305,0.006861329,0.012364149,4.162605676,59
Chocolate Caramels,440.3162345,19.19016517,3.999183168,0.013512337,14.10888503,55.27727774,59
Chocolate Caramels,313.6535759,6.898456829,1.68506589,0.872523999,0.765136324,66.78158025,59
Caramel Cream Cheese Cookies,432.7072053,20.12130362,9.451686797,0.416050604,12.07496252,14.38819242,59
Almond Butter Cookies,491.267142,31.6071345,10.60287533,0.363172711,2.397011561,13.36343745,59
Almond Butter Cookies,388.0199177,16.4394249,8.392234375,0.886877215,1.263543755,38.6031473,59
Cocoa Puff Cookies,282.2602443,2.099011623,1.224158821,0.015513686,0.42222365,63.75109867,59
Candy Carrot Coins,72.1325548,2.56938453,0.884080219,0.163607381,1.495098896,7.941359077,59
Random Cereal Cookies,480.3315995,39.38762462,17.04692241,0.030125704,8.77462072,11.67349371,59
Nutty Apricot Cookies,207.353737,2.773435151,8.20335518,0.408574349,0.24147676,19.08153448,59
Chocolate Caramels,397.0949716,18.74539386,2.943340045,7.015558642,6.271449534,57.38700762,59
Candied Apple Cookies,350.3352576,10.1767722,2.826921008,0.309082434,1.906827064,42.81508839,59
Mom's Caramel Popcorn,328.9035062,7.174608608,0.874655237,0.130457914,1.035778419,68.08540191,59
Caramels,551.7301301,52.71748811,1.334795925,1.834258314,32.80486348,21.54484436,58
Brysell Cookies,529.5327786,37.53131572,4.706958032,0.016229313,21.35626772,18.69936911,58
Caramels,86.41716009,2.662937786,3.181965571,0.938733112,1.694176954,13.22985216,58
No Bake Cookies,157.2495484,5.41160747,4.855101215,0.079289725,2.792866131,15.78544506,58
Cheddar Cheese Cookies,362.2713005,37.68119221,2.829511071,1.25140507,23.38888634,2.632659842,58
No-Bake Cookies,319.0481096,22.93551046,13.3452663,0.064000206,5.536867724,11.53317194,58
Chocolate Caramel Cookie Bark,401.6874571,9.51111093,1.549774679,1.977598537,5.269740065,78.31323678,58
Cheddar Cheese Cookies,674.3282539,73.13547741,3.16392036,0.167678325,45.33387889,0.114566285,58
Cookie Break Up,685.9643843,74.53577498,1.212826595,0.855342349,46.3723064,3.622076282,58
No-Bake Cookies,333.1955298,3.801776332,1.992371909,0.011502147,0.762995759,73.99314539,58
Mom's Pie Crust,546.6583939,59.11345506,1.644330202,0.144285883,8.349843408,1.959699817,58
Chocolate Caramel Cups,381.7190505,8.389944601,8.90387784,0.062103682,5.265003415,14.28784566,58
Buttery Almond Cookies,567.6104599,47.148422,19.04238052,0.003155996,5.409377818,7.465644725,58
Mom's Pie Crust,679.0629104,75.12245078,1.186660164,2.218476008,46.73147318,0.075830937,58
Caramel Corn II,305.8378325,8.992518763,0.212756753,0.393635453,3.211208593,58.86979358,58
Caramels,365.2672831,10.96963439,2.321068194,0.111751713,6.848629558,64.43533815,58
No Bake Cookies,418.8068629,37.05474159,10.18056862,0.050204631,7.891090486,8.315708841,58
No Bake Cereal Cookies,193.2715881,6.971760647,4.20049033,0.034618179,1.397530192,22.40851721,58
Caramels,441.5425532,29.87446809,0.627659574,1.504454787,18.52680851,47.72606383,58
Chocolate-Caramel Cookie Bars,169.162583,3.308960375,0.518544569,3.259213981,2.058030988,34.11623284,58
Coconut Caramel,108.7648575,0.779000211,2.701848832,0.333178547,0.507829251,23.57363202,58
Caramels,373.0630966,12.30507004,2.176769555,0.128610388,5.011528449,67.96020826,58
Caramel Corn IV,493.8310728,32.64883593,0.567879326,0.831167871,15.81543922,52.06849199,58
No Bake Cookies,402.0102275,16.16134721,9.535002645,0.024378417,6.093810615,30.32392876,58
Easy Christmas Cookies,559.2734074,58.45955713,1.048835772,0.011382729,11.65501514,5.748109813,58
Caraway Noodles,452.1449479,16.74002606,51.1234671,1.833927332,6.347248386,19.9674069,58
Buttery Cookies,454.2757152,28.43198418,4.514227024,0.016547474,17.51544431,16.06664638,58
Caramels,380.9585158,17.539294,0.562999227,0.083419222,10.94949755,60.09920124,58
Crackers,256.9356873,5.73297604,6.772803699,1.267996007,3.338535099,3.908680118,58
No Bake Cookies,401.2946918,15.38601733,9.156159745,0.01710487,3.046927597,33.68877602,58
No Bake Cookies,400.4363956,15.41232021,9.261430004,0.049188087,6.247450182,33.54894032,58
No Bake Cookies,323.3980087,15.26784954,14.74448983,0.036486256,6.418517573,19.38281848,58
Caramels,348.6118468,17.07350513,1.056928302,0.071978313,10.68924688,51.3646278,58
Caraway Noodles,452.1449479,16.74002606,51.1234671,1.833927332,6.347248386,19.9674069,58
No Bake Cookies,392.503023,13.80814188,9.394195889,0.019951632,5.194236195,34.18379686,58
Caramels,530.6259847,43.84400793,4.241853613,0.047873185,10.89459738,33.06895976,58
Cheddar Cheese Cookies,466.6322665,37.12927846,10.2609021,7.781415764,17.60983996,1.344184588,58
Honey-Cardamom Glazed Carrots,30.68789054,1.494899215,0.541089099,4.36263484,0.793659455,1.573656926,58
Cran Oat Scones,347.6001223,15.35188016,5.676245796,0.694130235,9.06202996,17.49250994,58
Caramel Chicken,85.11791869,1.812000082,13.19739012,0.110865733,0.59114476,3.372031417,58
Mom's Pie Crust,440.9209071,26.39208524,5.706282991,0.014193773,16.18338354,5.459221292,58
Awesome Simple Cookies,553.3591731,45.6375969,3.124677003,0.068636951,14.60717054,32.97093023,58
Italian Almond Cookies,524.7420235,36.43427131,9.066762243,0.008301279,13.93420444,23.75064061,58
Cafe Choc Chip Cookies,416.1013542,9.771935978,2.149499132,0.027224822,6.058726913,74.72514265,58
Salted Caramel No Bake Cookies,390.9972072,15.72079842,9.245933958,2.894796287,6.328035157,29.66937736,57
Coconut Joy Cookies,705.5585091,74.80859968,0.66886007,0.025668758,51.23899768,11.44686688,57
Chocolate Low-Carb Cookies,276.894222,26.28927627,6.023188868,0.117557908,12.91195231,4.051608231,57
Caramel Corn,223.9040456,6.883312722,2.924437827,0.020505767,1.324552659,32.45747419,57
Cardamom & Chili Chocolate Truffles,416.4819339,26.63352745,7.91450714,0.508396198,15.95213407,30.74974174,57
Kid's Colada,175.9539673,15.57389461,0.204421563,0.00738189,14.16081163,8.129164143,57
Carol's Shortbread Cookies,507.6699696,33.08835542,4.925202952,0.050359844,20.39376262,15.26777469,57
Caramel Corn,227.4590644,5.38967884,1.416758416,0.1989974,1.799058305,41.46314039,57
Dreamy Cream Scones,317.2341624,5.010061982,1.335828705,2.968888352,2.638291878,57.75175078,57
Alfredo Noodles Mix,42.74997577,0.284030032,1.508644334,2.89494709,0.157205241,4.154642089,57
Caramel Corn,325.6910435,14.65294166,0.231914544,0.366275678,9.072224322,51.8936401,57
Clove Sugar Cookies,511.180282,33.95057807,6.792275441,0.020423072,16.68301359,11.17418371,57
Caramel Corn,209.8750572,2.842629818,1.455981126,0.134542237,1.461566239,42.61104023,57
Cocoa Fudge Cookies,389.2881106,20.63073889,3.341998162,1.007332835,12.81771667,50.07560325,57
Carrot Fries,57.25922824,2.177359445,0.910430222,0.325679239,0.30441784,4.640257261,57
Caramel Corn,466.932885,27.8128065,0.403530895,0.801106908,16.61958806,57.5795152,57
Processor Cinnamon Cookies,526.9484055,42.2225162,0.234146652,0.38801188,3.111361993,37.90538275,57
Caramel Corn,438.5193476,23.02846178,2.68628078,1.251998721,13.87336105,43.36824432,57
Ice Cream Kolachkes,316.5258568,21.01750718,3.763560241,0.037540752,12.81828007,6.480632411,57
Carrot Fries,599.9522095,67.00762517,0.95619688,0.058023689,41.65978218,0.70871868,57
Almond Cakes,426.5128052,29.68550727,7.401282766,0.152703148,13.45745538,25.85307644,57
Pecan Caramel Sandwich Cookies,484.5373238,29.47126284,4.698926249,0.143467808,14.00722477,28.37031532,57
Cocoa Fudge Cookies,341.9804873,17.50286402,2.617635043,1.037410914,10.85040813,45.46684477,57
Caramel Corn,431.9402909,28.21303665,0.474428506,1.469727305,17.45068174,48.23685945,57
Gooey Caramel Sauce,331.4721134,0.480011517,0.005290218,0.985311723,0.242751437,87.22908297,57
Caramel Corn,504.5873898,33.5825368,2.60370586,1.651014323,15.69614847,51.72605235,57
Caramel Corn,324.4687225,22.17324439,0.239674043,0.076396101,13.74624511,34.79467924,57
Caramel Corn,390.3891978,27.3782367,1.723590151,0.486020651,14.95429706,35.61223193,57
Caramel Corn,354.8793488,9.12879155,0.465161353,0.815304293,5.587556934,68.30313015,57
Caramel Corn,334.225046,4.821936131,5.487376693,0.032603244,2.059438221,35.03343922,57
Caramel Corn,455.0410649,26.19654489,0.407816483,1.128575474,16.24893798,58.19102237,57
Breakfast Cookie,124.2508387,1.995203084,5.226889857,0.237989864,0.516336641,5.717938468,56
Ice Cream Scones,290.7801418,5.672340426,7.131914894,0.096099291,3.260567376,10.08085106,56
Caraway Coleslaw,212.4721648,3.311865496,0.119969473,0.281168179,0.519643935,45.22979475,56
Caramel Syrup Recipe,375.891947,9.270514781,0.560970948,0.067851682,5.769240571,72.42099898,56
Chocolate Caramel Sauce,400.5113585,18.6068875,1.447416056,0.4738551,11.55299122,61.24694542,56
Awesome No Bake Cookies,418.7533573,37.00042004,10.19265599,0.050122859,7.879069178,8.300729976,56
Creamed Potatoes,92.6697933,3.724682995,3.22859128,0.591019628,2.278304673,1.788778878,56
Caramelized Potatoes,496.0119786,42.34514484,0.852790511,1.279978109,26.34595964,29.64677684,56
Caramelized Potatoes,92.58850745,2.404374367,2.364960562,0.996431268,1.463263249,5.050281932,56
Cookie Dough Candies,376.0033271,8.056108328,2.893299446,4.733662276,5.010569241,72.37890223,56
Almond Cookies (Massafan),482.0791575,30.32104637,12.84185493,0.001486326,2.308900968,36.80482419,56
Nutty Canine Cookies,250.6197681,14.9524137,9.819545617,0.047437726,2.958237821,4.330650502,56
Cookie Dough Candies,376.0033271,8.056108328,2.893299446,4.733662276,5.010569241,72.37890223,56
Christmas Spice Cookies,387.8418681,13.10679612,3.393616346,0.951757726,4.660765277,40.93787677,56
Chamomile Cold Compress,0.321504316,0.036473179,0.0,0.008442865,0.005036,0.0,56
Creamed Potatoes,161.094026,12.73506511,2.316299156,0.522966695,5.257606491,0.26238304,56
Coconut and M&M Cookies,527.9677165,35.14862205,6.011220472,0.666732283,25.84776063,26.25673228,56
Caribbean Cooler,203.1913618,20.33343471,1.082698279,0.025623974,15.25115164,4.138291712,56
Almond-Oat Lace Cookies,545.0002698,35.73205403,8.70456052,0.372538555,20.78309852,31.61726464,56
Carrot Daikon Pickle,189.0806858,0.011888389,0.054741886,11.01183354,0.002322383,50.11923778,56
Carob-Coconut-Pecan Cookies,506.6679071,33.99098006,3.197140022,0.620612023,13.24552324,30.4430427,56
Cardamom & Cacao Truffles,521.036959,40.21173745,17.38372441,0.084431047,4.100899826,3.698145856,56
Cookies in a Jar,369.1169879,7.604213357,4.394890184,5.930076199,4.581801883,47.8798745,56
Frosted Apricot Cookies,511.7273784,37.58321998,8.554029782,1.07921349,28.40309497,14.8340407,56
Ice Cream Scones,290.7801418,5.672340426,7.131914894,0.096099291,3.260567376,10.08085106,56
Chocolate Caramel Slice,311.6299726,3.675981029,0.713499287,0.092229042,2.235383064,63.6318087,56
Caramel Sauce Recipe,208.2472649,2.093183383,1.25927626,0.180169842,1.302425216,48.01889679,56
Georgia Cookie Candy,495.3628286,28.57080711,5.650407257,0.013328397,13.69083673,57.04489078,56
Mabel's Caramel Corn Recipe,440.1477134,21.67550329,2.812151201,1.072516645,13.02107066,46.20717744,56
Caramel Corn III,462.8552545,28.11368143,0.634500991,2.093688037,15.67349636,54.25181758,56
Saffron Cream Scones,386.5884151,18.43673718,5.454262163,1.085202443,11.38376898,11.99207592,56
Cardamon Shake - India,296.056237,1.797933736,0.962903324,0.022876735,1.127842466,71.82878561,56
Caramel Chocolate Tarts,394.0281436,6.493006601,2.119542747,0.056262035,4.032762776,78.64305973,56
Apricot Cookie Frosting,438.9049786,19.49731072,2.709971038,0.005861261,3.373879465,65.952972,56
Vegan Oatmeal Carob Cookies,423.7550475,30.29389185,4.581670651,0.089614643,4.220851455,19.70379566,56
Canadian Shortbread Cookies,318.8726733,6.590669347,1.090914962,0.023509622,4.056139314,50.63464726,56
Creamed Potatoes,144.9229552,10.44032549,2.95437872,0.366265865,6.448240438,3.918109232,56
Chocolate Charms,484.8993289,28.93913972,4.874161074,0.237091977,17.81985967,23.27410006,56
Cooked Asparagus,1.923633458,0.011541801,0.21159968,0.008114509,0.003847267,0.180821545,56
Cambray Potatoes,164.1168289,12.91376912,2.382475661,0.027121001,8.003894298,0.02364395,56
Allspice Cookies,306.487551,1.459088034,0.306408487,0.718834455,0.851438963,73.59884423,56
Anzac cookies recipe,497.6959142,31.0534249,6.051309317,0.378727362,22.60684273,19.37846942,56
Caramel Sauce Recipe,290.8182155,8.838701715,1.089719857,0.538689374,5.474145378,54.90620758,56
Candy Cookie Jar Mix,373.8992283,0.055832955,0.586019065,0.104346346,0.008806173,92.84634589,56
Caramel Sauce,415.3663458,18.76393892,0.605928533,0.033671833,11.76030358,65.28459437,55
Caramel Sauce,212.7229739,6.343726759,1.416377138,0.023698787,0.683229917,39.30962715,55
Carrot Recipe,141.3345966,3.701739768,2.699727572,0.109216027,1.19643417,18.58292496,55
Caramel Sauce,399.5390775,15.1276789,0.516771524,0.034527134,9.393466339,68.46566632,55
Chocolate Caramel Mousse,449.4756783,30.6134898,4.777996034,0.03083561,22.61473253,29.90812152,55
Easy Cream Scones,362.406015,12.34285714,4.491729323,1.006203008,7.46962406,29.43007519,55
Caramel Potatoes (Iceland),144.5105973,6.219621443,2.097122593,0.020661931,1.176310338,11.24095392,55
Cranrazz Smoothie,52.27873563,0.313591954,4.645201149,0.04045977,0.056376437,7.271494253,55
Caramel Sauce,355.6056286,18.59100524,0.737606916,0.846362549,11.67718201,49.73466385,55
Caramel Sauce,308.8235294,11.37079832,0.895483193,0.022321429,7.257878151,53.7342437,55
Caramel Sauce,61.75771971,3.910332542,0.047718018,0.013573125,2.432897862,4.446895148,55
Caramel Sauce,365.9442724,13.40433437,1.055108359,0.926578947,8.556780186,62.88049536,55
Caramel Sauce,336.8551641,35.45053305,0.573143882,1.128513878,22.02188761,4.085505508,55
Caramel Sauce,124.6753247,0.0,0.0,0.005681818,0.0,32.64935065,55
Caramel Sauce,336.1866856,1.838958254,8.470866728,0.037677426,0.773667375,7.874070843,55
Caramel Sauce,204.9788136,0.0,0.0,0.00529661,0.0,52.86016949,55
Caramel Sauce,452.6240798,32.16813109,1.037758252,0.744775588,20.18285443,43.25932083,55
Caramel Cream,91.41274238,0.820637119,2.846260388,0.104743767,0.534972299,18.62303786,55
Ice Cream Pie,205.1453648,10.75662827,3.582227098,0.188855367,6.405141708,20.74342659,55
Easy Caramel Chocolate Chip Cookies,463.6898921,28.03865445,5.639515865,0.32193872,13.58060735,27.69027369,55
Caramel Sauce,274.97246,4.685429201,1.323722566,0.03990128,2.993903059,59.81931616,55
Caramel Sauce,513.6884154,34.53808256,0.383488682,1.117842876,21.49340879,54.563249,55
Caramel Sauce,206.6833026,2.872409678,1.342085277,0.202275686,0.719485733,45.76380601,55
Vegan Jam Almond Cookies,404.3057881,32.6253816,2.966768518,0.010895999,4.093574236,21.19629811,55
Caramel Sauce,352.9647436,37.64590011,0.441539797,0.021367521,23.43893563,5.126535791,55
Rum-Caramel Sauce,335.2469747,8.897267827,0.4230209,0.015325349,5.528238742,62.49031385,55
Caramel Sauce,312.6913704,10.14653502,0.799068925,0.019996251,6.476441917,57.42423296,55
Momma's Quickie Cocktail,74.36842105,0.168421053,0.589473684,0.0025,0.020210526,7.073684211,55
Raspberry Almond Cookies,288.6797469,6.034136226,1.965651087,0.083652363,2.600568937,39.91758388,55
Caramel Sauce,292.8229146,29.72826133,0.512518885,0.605898277,18.82252752,7.778072771,55
Caramel Icing,566.1677304,47.22027413,0.495949381,1.539492393,29.38561116,39.03251468,55
Caramel Sauce,400.0873275,15.77157797,0.480876522,0.06181942,9.864287258,68.70964638,55
Cantaloupe Cooler,8.92910157,0.033524425,0.116046085,0.009752771,0.00628583,1.981486908,55
No Bake Cookies I,401.3717875,16.05900339,9.650028923,0.021279233,6.509585985,30.80158665,55
Caramel Sauce,118.5522518,10.83044577,0.821440065,0.025604517,6.905085854,5.189518956,55
Caramel Sauce,335.0340136,12.66723356,0.551303855,0.427473073,7.98100907,57.58361678,55
Caramel Icing,64.09971654,1.104003118,3.192358771,0.104632454,0.712119864,10.60851088,55
Caramel Slice,752.0146051,75.70063882,0.486770604,0.029409593,68.64870237,20.41456,55
Ice Cream Pie,337.9482566,21.73585432,4.80372875,0.04150639,12.89512967,31.49730115,55
Caramel Sauce,194.0277555,0.0,0.0,0.005464864,0.0,50.03609819,55
Caramel Sauce,457.2147057,27.64680881,0.501168804,0.034887016,17.22936885,56.63915846,55
Caramel sauce,264.8544673,7.310417294,1.23836286,0.035955341,4.667869171,51.20119246,55
Caramel Pears,161.1040298,0.10521861,0.306466139,0.003786179,0.018989775,36.83706681,55
Caramel Sauce,54.17745325,1.056868199,3.214279645,0.104698325,0.685109131,8.382578697,55
Spiced Christmas Cookies,388.0031999,11.6225965,3.791605954,0.051373532,4.868225194,40.90254564,55
Caramel Sauce,333.0781011,4.144333844,0.326378254,0.008614089,2.645290965,77.33346095,55
Caramel Sauce,328.3198866,32.10035667,2.54692049,0.059536919,20.48768572,9.153309412,55
Caramel Sauce,578.4097184,62.84373274,1.471562673,0.047625621,39.29928216,5.027609056,55
Caramel Sauce,365.3608751,38.79154189,2.106948604,0.570631913,24.15489825,3.960215119,55
Caramel Sauce,365.6716418,13.46393035,1.060323383,0.024875622,8.593905473,63.62562189,55
Ice Cream Pie,218.6176889,7.694556876,2.875485609,0.137918273,4.719736212,21.15016535,55
Caramel Sauce,520.8877285,43.9203062,0.574115832,0.047694636,27.33212675,34.14268336,55
Cantaloupe Cooler,8.92910157,0.033524425,0.116046085,0.009752771,0.00628583,1.981486908,55
Rum Caramel Sauce,357.9547323,7.484965697,0.58985346,0.013823589,4.777492141,70.08347439,55
Caramel Sauce,380.3501275,14.56475291,0.396994969,0.026104487,9.049693294,65.21434971,55
Caramel Sauce,334.3340277,15.41784095,1.448351918,0.020830781,7.185884083,50.41110158,55
Caramel Sauce,33.14326443,0.921807166,0.021585239,0.008423508,0.576451435,6.530729605,55
Caramel Sauce,308.3247688,11.12538541,0.876156218,0.021839671,7.101233299,52.84686536,55
Caramel Sauce,289.3968872,1.540102925,0.107003891,0.280002667,0.867264968,74.71899711,55
Chocolate Cherry Cookies,435.7152262,42.36533241,1.479054929,0.333504905,26.32441233,11.72952722,55
Caramel Sauce,387.7805486,22.67456359,1.346633416,0.051433915,14.11284289,46.54613466,55
